question,document
When is the next time this course will be offered?,bd31146b0e
Do you know when the course is running again next?,bd31146b0e
What’s the next scheduled offering of this course?,bd31146b0e
Is there a date for the next course run?,bd31146b0e
When can I expect the course to be available again?,bd31146b0e
Where can I find the course lectures or videos for this class?,31456f4b5f
What’s the best place to start if I want to watch the lesson videos?,31456f4b5f
"Do I need to use the GitHub repo to find the videos, or is there another link?",31456f4b5f
How do I get to the videos for each lesson in the course?,31456f4b5f
"Is there a YouTube playlist, or should I check the repo first for the latest videos?",31456f4b5f
"How do I check the current syllabus, deadlines, and homework for LLM Zoomcamp in one place?",20c5a1347e
Is there a course platform for following my progress and seeing what homework is due?,20c5a1347e
Where should I go to find the updated structure of the current LLM Zoomcamp cohort?,20c5a1347e
What's the easiest way to keep track of deadlines and assignments during the Zoomcamp?,20c5a1347e
Does LLM Zoomcamp use a central management site like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Does llm-zoomcamp have live sessions or office hours for every module, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask questions — is Slack the right place?",d65e05bd7a
"Are live sessions in this course scheduled regularly, or only announced when they happen?",d65e05bd7a
"Is there any extra paid support with Zoom office hours for llm-zoomcamp, and is it optional?",d65e05bd7a
Where can I find the main course materials if there aren’t separate live classes for each module?,d65e05bd7a
Can I count Bluesky posts toward my learning in public credits?,dbf5369006
Are Bluesky posts accepted as learning in public evidence for the course?,dbf5369006
"If I share my progress on Bluesky, does that qualify for learning in public credits?",dbf5369006
Can I use posts from Bluesky to get learning in public credit?,dbf5369006
Does the course allow Bluesky activity as learning in public credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram link?,054f3fd58f
Is there a Telegram group or channel for course announcements?,054f3fd58f
Should I use Telegram or Slack for technical questions in LLM Zoomcamp?,054f3fd58f
Where do I go for announcements and where should I ask technical questions in the course?,054f3fd58f
Why is my FAQ dataset record count different from the one in the course videos?,e2d595f23c
Did the FAQ data change after the videos were recorded?,e2d595f23c
Why do I get a different number of FAQ entries when I run the code now?,e2d595f23c
"Is the FAQ dataset in the course static, or does it update over time?",e2d595f23c
"The video shows one record count, but I see another one now—what’s going on?",e2d595f23c
"The homework deadline already passed, but the submission form is still open. Can I still send my answers?",a9353fadfe
"If the deadline is over and the form hasn’t been closed yet, is it still okay to submit the homework?",a9353fadfe
"Do submissions stop only when the form gets closed, or does the deadline itself block it?",a9353fadfe
Can I turn in a homework after the listed deadline as long as the form is still available?,a9353fadfe
Is it possible to submit late homework if the submission page is still open?,a9353fadfe
"Can I still turn in homework after the deadline if the form is open, or is it already too late once the deadline passes?",cdc3b285e5
"Do you ever give deadline extensions for homework, like if someone misses the cutoff?",cdc3b285e5
What happens if I miss a homework assignment in this course — does it affect my certificate at all?,cdc3b285e5
"If homework isn’t required, what is it actually used for in the course?",cdc3b285e5
"When the homework form closes, am I completely blocked from submitting anything late?",cdc3b285e5
"Does the name I type for the certificate get posted anywhere publicly, or is it kept private?",651ba06b34
"On the course leaderboard, will people see the name I entered for my certificate field?",651ba06b34
What’s the difference between the public display name and the certificate name in the course profile?,651ba06b34
Can I use a nickname on the leaderboard and a different real name on the certificate?,651ba06b34
Where do I change the name that shows up on the leaderboard versus the one printed on the certificate?,651ba06b34
Why don't we start the RAG module with LangChain right away?,b7cdde6b25
"What's the reason for building retrieval, prompting, and indexing by hand instead of using a framework?",b7cdde6b25
Is there a downside to learning LangChain before understanding the basic pieces of an LLM app?,b7cdde6b25
Why does the course prefer core implementation first and a framework later?,b7cdde6b25
What is the benefit of understanding the low-level parts before relying on LangChain?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
What does it mean if the responses.create command fails with an insufficient credits error?,f5df151c59
How can I fix the OpenAI error about not having enough credits while using responses.create?,f5df151c59
Is the responses.create command error caused by my account balance or something else?,f5df151c59
What should I check in my OpenAI account if responses.create keeps throwing an insufficient credits message?,f5df151c59
"Why am I getting a 429 RateLimitError from OpenAI, and how do I fix the quota issue?",152af39a53
Do I need to add credits to my OpenAI account before the API will work?,152af39a53
"If I paid for OpenAI already, why am I still seeing an insufficient_quota error?",152af39a53
Which model should I use in responses.create if gpt-4o isn’t available on my account?,152af39a53
"After I add billing credits, do I need to make a new API key or can I keep using the old one?",152af39a53
How much money do I need to spend to use the OpenAI API for this course?,554d0eb78b
Do I have to add a lot of credit before I can start using the OpenAI API?,554d0eb78b
What is the minimum amount I can recharge my OpenAI account with?,554d0eb78b
Will using the OpenAI API for the course end up being expensive?,554d0eb78b
Roughly how much does initial OpenAI API usage cost in this course?,554d0eb78b
Do I need to pay for the OpenAI API to finish the homework in this course?,85384a18e5
"Is an OpenAI subscription required for LLM Zoomcamp assignments, or are there free options?",85384a18e5
Can I complete the course without buying access to OpenAI's API?,85384a18e5
What should I use instead of OpenAI if I don't want to spend money on API calls?,85384a18e5
Where can I find the list of cheaper or free alternatives to the OpenAI API for this course?,85384a18e5
Why does the course use uv instead of pip and virtualenv for Python setup?,f81dea8f7e
"Is uv basically replacing pip, virtualenv, and tools like poetry or pyenv in this course?",f81dea8f7e
"Do I have to use uv, or can I still set everything up with pip and virtualenv?",f81dea8f7e
"What’s the main advantage of uv when managing Python versions, environments, and dependencies?",f81dea8f7e
Why is uv recommended for the lessons if traditional Python tools already work fine?,f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY is missing even though I set it in .env?,86d99bbf21
Do I need python-dotenv for the API key to work in the notebook?,86d99bbf21
What should I run in Jupyter before creating the OpenAI client so it can read .env?,86d99bbf21
Could the issue be that my environment variable name is wrong for OpenAI?,86d99bbf21
How do I make sure Jupyter actually loads my .env file before using the key?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python for the RAG module?,233dabe430
"What’s the easiest way to hide OpenAI, Groq, or Gemini keys so they don’t get committed to Git?",233dabe430
"Do I need a package to read variables from a .env file in this course, and how do I use it?",233dabe430
What should I put in .gitignore if I’m storing secrets like OPENAI_API_KEY in a local env file?,233dabe430
Can you show the basic Python code to load keys from .env and access them with os.getenv()?,233dabe430
"Can I swap the homework model for another one, or do I have to use the suggested provider?",ee43413718
"Is OpenAI the only option for the assignment, or can I use Gemini, Groq, Azure OpenAI, OpenRouter, or a local model instead?",ee43413718
"If I pick a different LLM provider, will I need to change my code because of different APIs or tokenization?",ee43413718
"Does the homework require a paid API key, or can I finish it without paying for a service?",ee43413718
Where can I find a list of alternative LLM APIs or providers that work for this course?,ee43413718
How can I set up Gemini in the Module 1 RAG notebook using the OpenAI-style endpoint?,0ae5c221b9
What do I need in my .env file to make Gemini work with the notebook?,0ae5c221b9
How do I create the OpenAI client for Google Gemini instead of OpenAI itself?,0ae5c221b9
Which Gemini model name should I pass when calling the helper in the notebook?,0ae5c221b9
Why does the notebook code need changes if I use Gemini through the chat completions endpoint?,0ae5c221b9
How do I get Pydantic structured output from Gemini if `responses.parse` isn't supported on the OpenAI-compatible endpoint?,341f71f28c
Is there a way to use the OpenAI SDK with Gemini and still get a parsed Pydantic object back?,341f71f28c
What should I use instead of the Responses API when calling Gemini through the OpenAI base URL and I want structured output?,341f71f28c
Can I define a Pydantic schema and have Gemini return it directly with `chat.completions.parse`?,341f71f28c
How do I access the parsed FAQ list after calling Gemini with the OpenAI chat-completions parsing flow?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
"Where do I download Ollama from, and which installer should I pick for my OS?",1d0b969028
"After installing Ollama, what command do I run to start using LLaMA 3 locally?",1d0b969028
How can I check if the Ollama server is running on my machine?,1d0b969028
What do I need to do in Python to use the Ollama client and send a chat request?,1d0b969028
How do I fix a connection refused error when I’m prompting Ollama in the RAG homework?,c6fc2d4d11
What should I do if Ollama stops responding and I get a connection refused message?,c6fc2d4d11
Is there a way to restart the Ollama server in the notebook when the RAG prompt fails?,c6fc2d4d11
Do I need to rerun the cell with ollama serve after restarting the notebook?,c6fc2d4d11
What command should I use to bring Ollama back up if the server connection gets refused?,c6fc2d4d11
"Why does tiktoken say one token number, but OpenAI’s API gives me a slightly bigger count?",bf0403d21b
"In a chat.completions request, what extra tokens does OpenAI add around each message and at the start of the reply?",bf0403d21b
"Can whitespace, line breaks, or weird Unicode make the reported token usage go up a bit?",bf0403d21b
"If my prompt text is 320 tokens in tiktoken, why might the API show something like 327 instead?",bf0403d21b
"Is the token count from OpenAI based only on my visible text, or does chat formatting change it too?",bf0403d21b
How can I avoid typing my API key export in every new terminal for this RAG project?,8b2f5e9d04
Is there a tool like direnv that can auto-load both .env and .envrc files on different shells?,8b2f5e9d04
What setup do I need so my OPENAI_API_KEY gets picked up automatically when I cd into the project folder?,8b2f5e9d04
Should I put .env or .envrc in gitignore so my secret key doesn’t get pushed to GitHub?,8b2f5e9d04
"If I’m running Python scripts instead of a shell, what’s the easiest way to load the .env file?",8b2f5e9d04
How do I figure out the best field weights for minsearch or a similar search tool?,87d4ea4e08
"Is there a proper way to tune search field weights, or is it just trial and error?",87d4ea4e08
What’s the recommended process for picking weights in a search engine when doing RAG?,87d4ea4e08
Should I build a test set before changing field weights for retrieval?,87d4ea4e08
Which metrics should I look at to compare different search weight settings?,87d4ea4e08
What’s the best way to clean up docs before using them in RAG?,649c280e6d
"Should I strip out things like HTML junk, duplicates, and OCR mistakes when preparing data for retrieval?",649c280e6d
"Do I need to keep titles, headings, dates, or page numbers when making chunks for RAG?",649c280e6d
Is JSON the required format for storing data before chunking it for retrieval?,649c280e6d
"What matters more for RAG prep: making the text shorter, or making search and retrieval more accurate?",649c280e6d
"In GitHub Codespaces, `uv` shows a failed hardlink warning when installing packages. Is that actually a problem or can I ignore it?",acf8fa5356
Why does `uv` complain about not being able to hardlink files between the cache and the target environment in Codespaces?,acf8fa5356
"If `uv` can’t hardlink files in Codespaces, does the package install still work or does it break the setup?",acf8fa5356
How can I get rid of the `uv` hardlink warning for just my current terminal session?,acf8fa5356
What’s the easiest way to make `uv` always use copy mode in my shell so this warning doesn’t keep appearing?,acf8fa5356
My code says dotenv is not recognized — what package do I need to install?,0bed1f48da
How do I fix the error when `dotenv` can’t be found in Python?,0bed1f48da
Is `python-dotenv` the right thing to add if `dotenv` is missing?,0bed1f48da
What’s the install command for using `load_dotenv()` in my project?,0bed1f48da
Do I need to import something special after installing `python-dotenv`?,0bed1f48da
Can I do this course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required for the module, or is it only the easiest option?",aa310de435
What do I need installed if I want to follow the course locally?,aa310de435
"Is it okay to set up Python, uv, Jupyter, and Docker myself for the RAG module?",aa310de435
"If I run everything locally, do I need to keep track of my setup somehow?",aa310de435
"If I work in GitHub Codespaces and don't commit my changes, where does that code actually live?",610ccb23c0
"Is my code in Codespaces safe if I just leave it there without committing, or can it disappear later?",610ccb23c0
"Do I need to keep committing my work in Codespaces, or is the VM enough to store everything?",610ccb23c0
What happens to my changes in Codespaces if the session stops or the machine gets deleted?,610ccb23c0
"Can I rely on Codespaces alone for saving my project, or should I push everything to GitHub?",610ccb23c0
Why does WSL2 say the model needs more system memory even though my PC has enough RAM?,f3dd94f323
How do I give WSL2 more memory so the model can run?,f3dd94f323
Where exactly should I put the .wslconfig file on Windows for WSL2 RAM settings?,f3dd94f323
What should I write inside .wslconfig to increase WSL2 memory allocation?,f3dd94f323
"After changing WSL2 memory limits, how can I restart it and check that the new RAM is being used?",f3dd94f323
"Why does my GitHub Codespace get stuck on ""Finishing up"" when I try to reconnect, and what are the quickest things to try first?",830f3d2018
"If my Codespace won’t open in VS Code, is there a workaround that usually gets it to load?",830f3d2018
"I stopped and restarted my Codespace, but my environment looks wiped — did I lose everything, or is that expected?",830f3d2018
What happens to files and installs when a Codespace is rebuilt or recreated from scratch?,830f3d2018
"If Codespaces keeps acting up for this course, is there a recommended backup option instead?",830f3d2018
"Can I use a different LLM provider instead of OpenAI for the course, or is it required?",c6ff9083c0
"If I switch from OpenAI to another hosted model, what exactly do I need to change in the code?",c6ff9083c0
What are some OpenAI-compatible alternatives I can use if the default provider is blocked in my region?,c6ff9083c0
Can I run a model locally with Ollama or vLLM and still follow the course code without major changes?,c6ff9083c0
Is using a VPN or a rented GPU server a valid workaround if I can't access the provider from my country?,c6ff9083c0
Why do I keep getting 429 errors in the notebooks when I loop over lots of docs?,8e21752415
"What’s the best way to stop OpenAI rate-limit crashes in Module 1 — should I retry, cache, or reduce workers?",8e21752415
How can I make reruns of the same notebook not hit the API again for embeddings and responses?,8e21752415
"Is there a simple way to lower the number of OpenAI calls, like batching texts or using fewer threads?",8e21752415
"If I get insufficient_quota instead of 429, does that mean I’m rate-limited or is it a billing problem?",8e21752415
"In agentic RAG, what exactly counts as a tool or function, and how are they different from the model itself?",c296ea5a21
"When would a model decide to call a tool, like search or a database query, instead of answering directly?",c296ea5a21
"Are tools and functions basically the same thing in this course, or is there an important difference I should know?",c296ea5a21
"How does agentic RAG use tools differently from basic RAG, where retrieval happens before the answer?",c296ea5a21
"Can a tool/function in agentic RAG be something like an API call or a calculation step, or is it only for document search?",c296ea5a21
Which free models can I use if I need tool calling support for the agentic RAG assignment?,0d74a3616f
Does Groq have any models that support tools and are free for development use?,0d74a3616f
"Besides OpenAI, what other providers support function calling or tool use for LLMs?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change my code?",0d74a3616f
Where can I read the docs for Groq tool use and see which models work with it?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call the Responses API with a non-OpenAI model?,9e7b3f0c25
"Is `client.responses.create(...)` only meant for OpenAI models, or can I use it with Mistral, Groq, Gemini, etc.?",9e7b3f0c25
What should I use instead of `response.output` when I’m working with a provider that doesn’t support the Responses API?,9e7b3f0c25
How do I change my code to use chat completions rather than the newer Responses API for homework or a project?,9e7b3f0c25
Do I need to rewrite my tools schema too if I switch from OpenAI’s Responses API to another provider?,9e7b3f0c25
How should I define the weather tool JSON for Azure OpenAI so I stop getting the missing tools[0].function error?,b9c7c6bb34
What does my get_weather_tool object need to look like when Azure says required parameter tools[0].function is missing?,b9c7c6bb34
Is there a specific JSON structure for the weather function tool in Azure OpenAI that fixes error 400?,b9c7c6bb34
What fields do I need inside the function tool definition for get_weather to work with Azure OpenAI?,b9c7c6bb34
"Can you show the correct get_weather_tool format with name, description, parameters, and city required?",b9c7c6bb34
"Why do I get a 404 in toyaikit when I try Groq or another non-OpenAI model, and what should I change?",0224d980b3
How can I make toyaikit work with Groq using the OpenAI-compatible API instead of the Responses endpoint?,0224d980b3
What’s the right way to set up toyaikit with Anthropic Claude instead of OpenAI?,0224d980b3
"Can I use `runner.loop(prompt=...)` in toyaikit without the interactive Jupyter chat, and what does it return?",0224d980b3
"Do I need to pass a specific model name in toyaikit, and could an outdated Anthropic model id be the reason for a 404?",0224d980b3
Where do I actually find the Module 1 homework questions for 2026?,53f15299b6
Is the homework posted on GitHub or only on the course platform?,53f15299b6
Can I get the link for the Module 1 homework instructions?,53f15299b6
Where are the 2026 cohort materials for Module 1 located?,53f15299b6
Do I need to check GitHub for extra homework details beyond the platform?,53f15299b6
Why am I getting an empty list when I filter my query in HW Q3?,83da208a64
Could this be caused by how I indexed the data in the homework?,83da208a64
Do I need to set the index settings before loading the documents?,83da208a64
My filters work but the search still returns nothing — what am I missing?,83da208a64
What should I check first if my query returns an empty result after filtering?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create() in module 1, and how do I fix it?",cfb07a27d5
"Do I need to set max_output_tokens in OpenRouter for the homework, or can I leave it out?",cfb07a27d5
How should I change rag_helper.py so responses.create() stops failing with APIStatusError 402?,cfb07a27d5
"For the ToyAIKit Q6 task, where do I pass the max_output_tokens limit in OpenAIClient?",cfb07a27d5
"If OpenRouter still rejects my request after lowering max_output_tokens, what should I check in my .env and key settings?",cfb07a27d5
"In the Module 1 homework, when people say RAG should point to the chunk index, does that mean I should build the search index from the split pieces instead of the full docs?",b4300adeb1
"If I already have `documents` and `chunks`, which one should I pass to `index.fit()` for the homework RAG setup?",b4300adeb1
Why does the homework want retrieval to use chunks rather than the original documents?,b4300adeb1
"After indexing the chunks, does the pipeline send only the matched pieces into the prompt, or the whole document text?",b4300adeb1
What’s the practical difference between searching over `documents` and searching over `chunks` in the Module 1 RAG task?,b4300adeb1
"For the homework, do I have to get the exact same number as one of the choices, or is the nearest one okay?",5e4ca64cb5
"If my computed value is a little off from the listed answers, should I still pick the closest option?",5e4ca64cb5
What usually causes homework answers to differ a bit from the multiple-choice options?,5e4ca64cb5
When should I worry that my homework result is wrong instead of just slightly different?,5e4ca64cb5
Where can I check the general rules for submitting homework and choosing answers?,5e4ca64cb5
Where do I look first if the Module 1 homework prompt seems confusing on the platform?,7d3a2e3505
Is there a separate GitHub page for the 2026 Module 1 homework instructions and materials?,7d3a2e3505
Why does the homework sometimes use a different dataset even though it follows the lesson workflow?,7d3a2e3505
What should I do if I still don't understand the homework after checking the GitHub instructions?,7d3a2e3505
How should I ask for help in Slack when I’m stuck on a homework question?,7d3a2e3505
How should I count tokens for the Module 1 homework if I’m using a provider other than OpenAI?,fe8fed31e6
My client isn’t OpenAI-compatible — where do I look in the response object to get the token usage for homework?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in Module 1?",fe8fed31e6
What’s the best fallback if my LLM provider doesn’t return any token usage info at all?,fe8fed31e6
"For the multiple-choice questions in this homework, what should I do if the token count isn’t exact?",fe8fed31e6
Why does the homework checker fail with a 500 or other non-200 status when I submit my repo link?,bcdb8740ce
"My submission URL is not opening for the grader, what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the homework checker to access it?,bcdb8740ce
Should I submit the GitHub URL with .git at the end or just the normal repo link?,bcdb8740ce
How can I quickly verify that my homework repo is reachable before resubmitting?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we convert text or other non-numeric data into numbers?",69430a79a8
How do embeddings keep the meaning or context of the original data when turning it into numerical form?,69430a79a8
"If two inputs are semantically similar, will their embeddings also be close to each other?",69430a79a8
Why does the distance between embedding vectors matter for semantic similarity search?,69430a79a8
"What are the main ideas related to embeddings, like vector space models and dimensionality reduction?",69430a79a8
How do I get rid of the warning about `multi-qa-mpnet-base-dot-v1` being made on sentence-transformers v3.0.0 beta?,aa3f597424
What do I need to install or upgrade to suppress the `sentence-transformers` warning in this vector search module?,aa3f597424
Is there a command to fix the model version warning for `multi-qa-mpnet-base-dot-v1`?,aa3f597424
"Why am I seeing the notice about the model being built on sentence-transformers 3.0.0 beta, and how can I stop it?",aa3f597424
What’s the recommended way to silence the `sentence-transformers` version warning in this course?,aa3f597424
Why did the lesson use just dot product for cosine similarity instead of explicitly normalizing the vectors?,92cd22cada
"In the homework, why isn't the dot product enough for matching vectors the way it was in class?",92cd22cada
"Are the embeddings from the lesson already unit length, so dot() works as cosine similarity?",92cd22cada
"With TF-IDF and SVD embeddings, do I need to normalize before comparing vectors?",92cd22cada
What's the difference between using .dot(...) in the lecture and normalizing vectors in the homework?,92cd22cada
"For vector search in this module, is it better to embed just the answer text, just the question, or both together?",5c4a8d2e60
Why would embedding only the answer work for matching user questions?,5c4a8d2e60
"If I index only the questions, will that still help retrieval, or do I need the full answer too?",5c4a8d2e60
"Is combining the question and the text into one embedding usually the best approach, even if it costs more?",5c4a8d2e60
How should I decide which embedding setup to use for my dataset and measure whether it actually works well?,5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How do people use cosine similarity when comparing documents or text?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Why is cosine similarity useful in vector search for text data?,db78580409
"Is cosine similarity based on the angle between vectors, and how does that help compare documents?",db78580409
Why can cosine similarity be computed with a dot product once embeddings are normalized?,95feb4e75b
What happens to vector magnitude in cosine similarity when everything is unit length?,95feb4e75b
Why does comparing a normalized query to document embeddings turn into matrix multiplication?,95feb4e75b
How does normalization make cosine similarity faster to compute in vector search?,95feb4e75b
"What is the link between cosine similarity, dot product, and embedding matrices?",95feb4e75b
"For Module 2, do I have to make another GitHub repository, or is creating a new codespace enough?",1e829a8c6f
Why does the course recommend a separate codespace for the vector search part instead of using my old one?,1e829a8c6f
"If I set up Module 2 in a fresh codespace, can I remove it later without affecting my main repo?",1e829a8c6f
"When I finish the Module 2 setup in Codespaces, should I still commit my changes somewhere?",1e829a8c6f
Is there any need to start a brand-new GitHub project just to work on the vector search module?,1e829a8c6f
Why does download.py get stuck at 0% when trying to fetch model.onnx from HuggingFace?,29b69fbe0b
My model.onnx download never moves past 0% in download.py — is HuggingFace CDN blocking it?,29b69fbe0b
How can I fix download.py when the ONNX file from HuggingFace hangs during download?,29b69fbe0b
Can I manually grab model.onnx in the browser and place it somewhere so download.py won't try again?,29b69fbe0b
"If the HuggingFace download is slow or blocked, what exact file path should I save model.onnx to locally?",29b69fbe0b
Why does the vector search result change a tiny bit when I use a matrix dot product instead of a loop?,e889793af9
I got different scores from `X.dot(v_query)` and my for-loop — is that a bug or just rounding?,e889793af9
How can two ways of doing the same dot product give slightly mismatched answers in NumPy?,e889793af9
"Should I worry if `np.allclose(scores, scores_loop)` returns `False` for vector search scores?",e889793af9
Why do the optimized BLAS version and the Python loop not match exactly in vector search?,e889793af9
"Why am I getting ""IndexError: list index out of range"" when I try to get the best chunk in vector search?",1a7b27c4df
What usually causes the best-chunk lookup to break with an index out of range error?,1a7b27c4df
How do I make sure my embeddings match the number of document chunks so I don't hit this error?,1a7b27c4df
Is there a correct way to build the embedding array from chunks instead of getting mismatched rows?,1a7b27c4df
My chunk selection code crashes with list index out of range — what should I check in the embeddings step?,1a7b27c4df
"For Module 2 Homework Q2, why does my cosine similarity not match any multiple-choice answer?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the embedding step in Q2, or something else?",eaa17a9dc6
Could the wrong embedding model be the reason my Q2 cosine score is off?,eaa17a9dc6
"In Q2, should I compare the query vector from Q1 with the page content or with the whole record?",eaa17a9dc6
"If my cosine similarity is close but not exact in Module 2, do I just choose the nearest option?",eaa17a9dc6
How do I set up Gemini API keys for Kestra so the flows can actually read them?,3860e5fe8b
"Do I need both a normal Gemini key and a SECRET_GEMINI_API_KEY, or is one enough?",3860e5fe8b
What’s the right way to add OpenAI and Tavily keys for the orchestration flows in Kestra?,3860e5fe8b
"After exporting the env vars, do I have to restart Docker/Kestra for the secrets to show up?",3860e5fe8b
"In a Kestra flow, should I reference the secret name with SECRET_ in front of it or not?",3860e5fe8b
"Why does Kestra Copilot keep saying it can only help create flows, and what setting am I missing?",04440cab11
"In the Open Source version, do I need to use a different Gemini variable for Copilot than for the flows?",04440cab11
"I already set `SECRET_GEMINI_API_KEY`, but the Copilot still refuses — what exact env var should I export?",04440cab11
"How can I tell if the Gemini key is missing, wrong, or just rate-limited in my Kestra setup?",04440cab11
What do I need to restart after exporting the Gemini API key so the Copilot starts working?,04440cab11
Why does Kestra keep saying my Gemini key is invalid even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a bad base64 encode be the reason my secret works nowhere in the flow?,c8ca21af33
"Do I need to restart the Kestra container after exporting the API key, or is setting it once enough?",c8ca21af33
"In the flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY when calling secret()?",c8ca21af33
Is it better to keep the keys in a .env file and start docker compose with --env-file instead of exporting them by hand?,c8ca21af33
Why use an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
"If a notebook is enough for experiments, what extra stuff does Kestra add for real AI workflows?",193612db63
"How does Kestra help with things like retries, scheduling, and monitoring in an LLM project?",193612db63
"In this module, why is Kestra used as the base for AI Copilot, RAG, and agents instead of only showing them in code?",193612db63
"Can I switch between OpenAI, Gemini, and Anthropic in a Kestra flow without rewriting the whole workflow?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for one module?",cce328db64
"For the capstone, can I skip Kestra and build the pipeline with Airflow, Prefect, Dagster, or just Python?",cce328db64
"If I already know Airflow, do I still need to go through the Kestra exercises in Module 3?",cce328db64
"Does the project allow a plain script or notebook for the ingestion step, and how does that affect the score?",cce328db64
"Can I change the AI provider in a Kestra flow, or am I stuck with OpenAI only?",cce328db64
"Does Kestra only work with Gemini, or can I point it at OpenAI, Anthropic, xAI, Groq, Ollama, or another local model too?",f442efe5b4
"If I want to switch from Gemini to a different AI backend in a Kestra flow, do I need to rewrite the workflow or just change the provider settings?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the provider-specific ones like the Gemini or OpenAI plugins?,f442efe5b4
"Can I use a local LLM with Kestra through Ollama or LM Studio, and does it have to be an OpenAI-style API?",f442efe5b4
"For providers like Groq or DeepSeek that don’t have their own Kestra plugin, how do I connect them in practice?",f442efe5b4
"Is there a way to build a Kestra flow without editing YAML by hand, like a form or some no-code builder?",bfe5502c30
"Can Kestra generate a workflow for me from plain English, and can I keep refining it with more prompts?",bfe5502c30
Do tools like Claude Code or Codex work with Kestra to create and push flows from my editor?,bfe5502c30
How is Kestra different from Airflow when it comes to separating the Python script from the orchestration part?,bfe5502c30
